productkey,customerkey,promotionkey,currencykey,salesordernumber,totalproductcost,salesamount,orderdate,duedate,shipdate
487,16703,1,6,SO52156,? 20.57,54.99,03-02-2022,15-02-2022,10-02-2022
382,24609,1,6,SO52157,? 713.08,1120.49,03-02-2022,15-02-2022,10-02-2022
388,24613,1,6,SO52158,? 713.08,1120.49,03-02-2022,15-02-2022,10-02-2022
539,24613,1,6,SO52158,? 9.35,24.99,03-02-2022,15-02-2022,10-02-2022
480,24613,2,6,SO52158,? 0.86,2.29,03-02-2022,15-02-2022,10-02-2022
578,11996,1,6,SO52159,? 755.15,1214.85,03-02-2022,15-02-2022,10-02-2022
479,11996,1,6,SO52159,? 3.36,8.99,03-02-2022,15-02-2022,10-02-2022
477,11996,1,6,SO52159,? 1.87,4.99,03-02-2022,15-02-2022,10-02-2022
487,11996,1,6,SO52159,? 20.57,54.99,03-02-2022,15-02-2022,10-02-2022
484,11996,1,6,SO52159,? 2.97,7.95,03-02-2022,15-02-2022,10-02-2022
363,11422,2,98,SO52160,"? 1,251.98",2294.99,03-02-2022,15-02-2022,10-02-2022
537,11422,1,98,SO52160,? 13.09,35.00,03-02-2022,15-02-2022,10-02-2022
528,11422,1,98,SO52160,? 1.87,4.99,03-02-2022,15-02-2022,10-02-2022
355,11381,1,98,SO52161,"? 1,265.62",2319.99,03-02-2022,15-02-2022,10-02-2022
485,11381,1,98,SO52161,? 8.22,21.98,03-02-2022,15-02-2022,10-02-2022
363,11380,1,100,SO52162,"? 1,251.98",2294.99,03-02-2022,15-02-2022,10-02-2022
478,11380,1,100,SO52162,? 3.74,9.99,03-02-2022,15-02-2022,10-02-2022
477,11380,1,100,SO52162,? 1.87,4.99,03-02-2022,15-02-2022,10-02-2022
484,11380,1,100,SO52162,? 2.97,7.95,03-02-2022,15-02-2022,10-02-2022
483,11380,1,100,SO52162,? 44.88,120.00,03-02-2022,15-02-2022,10-02-2022
214,11978,1,100,SO52163,? 13.09,34.99,03-02-2022,15-02-2022,10-02-2022
535,11119,1,6,SO52164,? 9.35,24.99,03-02-2022,15-02-2022,10-02-2022
480,11119,1,6,SO52164,? 0.86,2.29,03-02-2022,15-02-2022,10-02-2022
484,11119,1,6,SO52164,? 2.97,7.95,03-02-2022,15-02-2022,10-02-2022
528,16617,1,6,SO52165,? 1.87,4.99,03-02-2022,15-02-2022,10-02-2022
536,16617,1,6,SO52165,? 11.22,29.99,03-02-2022,15-02-2022,10-02-2022
214,16617,1,6,SO52165,? 13.09,34.99,03-02-2022,15-02-2022,10-02-2022
477,28533,1,6,SO52166,? 1.87,4.99,03-02-2022,15-02-2022,10-02-2022
372,19499,1,98,SO52167,"? 1,554.95",2443.35,03-02-2022,15-02-2022,10-02-2022
479,19499,1,98,SO52167,? 3.36,8.99,03-02-2022,15-02-2022,10-02-2022
477,19499,1,98,SO52167,? 1.87,4.99,03-02-2022,15-02-2022,10-02-2022
217,19499,1,98,SO52167,? 13.09,34.99,03-02-2022,15-02-2022,10-02-2022
589,13790,1,100,SO52168,? 419.78,769.49,03-02-2022,15-02-2022,10-02-2022
237,13790,1,100,SO52168,? 38.49,49.99,03-02-2022,15-02-2022,10-02-2022
489,11632,1,19,SO52169,? 41.57,53.99,03-02-2022,15-02-2022,10-02-2022
541,12795,1,19,SO52170,? 10.84,28.99,03-02-2022,15-02-2022,10-02-2022
541,15172,1,19,SO52171,? 10.84,28.99,03-02-2022,15-02-2022,10-02-2022
530,15172,1,19,SO52171,? 1.87,4.99,03-02-2022,15-02-2022,10-02-2022
480,15172,2,19,SO52171,? 0.86,2.29,03-02-2022,15-02-2022,10-02-2022
540,24989,1,100,SO52172,? 12.19,32.60,03-02-2022,15-02-2022,10-02-2022
529,24989,1,100,SO52172,? 1.49,3.99,03-02-2022,15-02-2022,10-02-2022
528,26278,1,100,SO52173,? 1.87,4.99,03-02-2022,15-02-2022,10-02-2022
535,26278,1,100,SO52173,? 9.35,24.99,03-02-2022,15-02-2022,10-02-2022
528,23785,1,100,SO52174,? 1.87,4.99,03-02-2022,15-02-2022,10-02-2022
536,23785,1,100,SO52174,? 11.22,29.99,03-02-2022,15-02-2022,10-02-2022
480,23785,1,100,SO52174,? 0.86,2.29,03-02-2022,15-02-2022,10-02-2022
528,26017,1,100,SO52175,? 1.87,4.99,03-02-2022,15-02-2022,10-02-2022
535,26017,1,100,SO52175,? 9.35,24.99,03-02-2022,15-02-2022,10-02-2022
217,26017,1,100,SO52175,? 13.09,34.99,03-02-2022,15-02-2022,10-02-2022
467,26017,1,100,SO52175,? 9.16,24.49,03-02-2022,15-02-2022,10-02-2022
536,18677,1,19,SO52176,? 11.22,29.99,03-02-2022,15-02-2022,10-02-2022
529,23729,1,100,SO52177,? 1.49,3.99,03-02-2022,15-02-2022,10-02-2022
540,23729,1,100,SO52177,? 12.19,32.60,03-02-2022,15-02-2022,10-02-2022
214,23729,1,100,SO52177,? 13.09,34.99,03-02-2022,15-02-2022,10-02-2022
478,16870,1,19,SO52178,? 3.74,9.99,03-02-2022,15-02-2022,10-02-2022
477,16870,1,19,SO52178,? 1.87,4.99,03-02-2022,15-02-2022,10-02-2022
467,16870,2,19,SO52178,? 9.16,24.49,03-02-2022,15-02-2022,10-02-2022
478,23249,1,100,SO52179,? 3.74,9.99,03-02-2022,15-02-2022,10-02-2022
477,23249,1,100,SO52179,? 1.87,4.99,03-02-2022,15-02-2022,10-02-2022
217,23249,1,100,SO52179,? 13.09,34.99,03-02-2022,15-02-2022,10-02-2022
474,19727,1,100,SO52180,? 26.18,69.99,03-02-2022,15-02-2022,10-02-2022
477,13732,1,19,SO52181,? 1.87,4.99,03-02-2022,15-02-2022,10-02-2022
476,19168,1,100,SO52182,? 26.18,69.99,03-02-2022,15-02-2022,10-02-2022
237,19168,1,100,SO52182,? 38.49,49.99,03-02-2022,15-02-2022,10-02-2022
477,17506,1,100,SO52183,? 1.87,4.99,03-02-2022,15-02-2022,10-02-2022
484,17506,1,100,SO52183,? 2.97,7.95,03-02-2022,15-02-2022,10-02-2022
476,27400,1,19,SO52184,? 26.18,69.99,03-02-2022,15-02-2022,10-02-2022
225,24746,1,19,SO52185,? 6.92,8.99,03-02-2022,15-02-2022,10-02-2022
477,24746,1,19,SO52185,? 1.87,4.99,03-02-2022,15-02-2022,10-02-2022
477,16814,1,100,SO52186,? 1.87,4.99,03-02-2022,15-02-2022,10-02-2022
214,16814,1,100,SO52186,? 13.09,34.99,03-02-2022,15-02-2022,10-02-2022
477,18110,1,100,SO52187,? 1.87,4.99,03-02-2022,15-02-2022,10-02-2022
484,18110,1,100,SO52187,? 2.97,7.95,03-02-2022,15-02-2022,10-02-2022
528,15430,1,100,SO52188,? 1.87,4.99,03-02-2022,15-02-2022,10-02-2022
217,15430,1,100,SO52188,? 13.09,34.99,03-02-2022,15-02-2022,10-02-2022
528,15257,1,100,SO52189,? 1.87,4.99,03-02-2022,15-02-2022,10-02-2022
214,15257,1,100,SO52189,? 13.09,34.99,03-02-2022,15-02-2022,10-02-2022
528,14761,1,100,SO52190,? 1.87,4.99,03-02-2022,15-02-2022,10-02-2022
217,14761,1,100,SO52190,? 13.09,34.99,03-02-2022,15-02-2022,10-02-2022
528,23070,1,19,SO52191,? 1.87,4.99,03-02-2022,15-02-2022,10-02-2022
528,21339,1,19,SO52192,? 1.87,4.99,03-02-2022,15-02-2022,10-02-2022
214,21339,1,19,SO52192,? 13.09,34.99,03-02-2022,15-02-2022,10-02-2022
485,15278,1,100,SO52193,? 8.22,21.98,03-02-2022,15-02-2022,10-02-2022
214,15278,1,100,SO52193,? 13.09,34.99,03-02-2022,15-02-2022,10-02-2022
485,16209,1,100,SO52194,? 8.22,21.98,03-02-2022,15-02-2022,10-02-2022
481,16209,1,100,SO52194,? 3.36,8.99,03-02-2022,15-02-2022,10-02-2022
485,15821,1,100,SO52195,? 8.22,21.98,03-02-2022,15-02-2022,10-02-2022
481,15821,1,100,SO52195,? 3.36,8.99,03-02-2022,15-02-2022,10-02-2022
539,17993,1,100,SO52196,? 9.35,24.99,03-02-2022,15-02-2022,10-02-2022
488,17993,1,100,SO52196,? 41.57,53.99,03-02-2022,15-02-2022,10-02-2022
538,28730,1,98,SO52197,? 8.04,21.49,03-02-2022,15-02-2022,10-02-2022
480,28730,1,98,SO52197,? 0.86,2.29,03-02-2022,15-02-2022,10-02-2022
538,12502,1,98,SO52198,? 8.04,21.49,03-02-2022,15-02-2022,10-02-2022
529,12502,1,98,SO52198,? 1.49,3.99,03-02-2022,15-02-2022,10-02-2022
214,12502,1,98,SO52198,? 13.09,34.99,03-02-2022,15-02-2022,10-02-2022
541,27323,1,100,SO52199,? 10.84,28.99,03-02-2022,15-02-2022,10-02-2022
530,27323,1,100,SO52199,? 1.87,4.99,03-02-2022,15-02-2022,10-02-2022
237,27323,1,100,SO52199,? 38.49,49.99,03-02-2022,15-02-2022,10-02-2022
537,12984,1,19,SO52200,? 13.09,35.00,03-02-2022,15-02-2022,10-02-2022
480,12984,1,19,SO52200,? 0.86,2.29,03-02-2022,15-02-2022,10-02-2022
596,18962,1,100,SO52201,? 294.58,539.99,03-02-2022,15-02-2022,10-02-2022
535,18962,1,100,SO52201,? 9.35,24.99,03-02-2022,15-02-2022,10-02-2022
480,18962,1,100,SO52201,? 0.86,2.29,03-02-2022,15-02-2022,10-02-2022
357,11526,1,19,SO52202,"? 1,265.62",2319.99,03-02-2022,15-02-2022,10-02-2022
485,11526,1,19,SO52202,? 8.22,21.98,03-02-2022,15-02-2022,10-02-2022
217,11526,1,19,SO52202,? 13.09,34.99,03-02-2022,15-02-2022,10-02-2022
361,12058,1,100,SO52203,"? 1,251.98",2294.99,03-02-2022,15-02-2022,10-02-2022
487,12058,1,100,SO52203,? 20.57,54.99,03-02-2022,15-02-2022,10-02-2022
484,12058,1,100,SO52203,? 2.97,7.95,03-02-2022,15-02-2022,10-02-2022
586,17647,13,100,SO52204,? 461.44,742.35,03-02-2022,15-02-2022,10-02-2022
231,17647,1,100,SO52204,? 38.49,49.99,03-02-2022,15-02-2022,10-02-2022
583,18700,1,6,SO52205,"? 1,082.51",1700.99,03-02-2022,15-02-2022,10-02-2022
477,18700,1,6,SO52205,? 1.87,4.99,03-02-2022,15-02-2022,10-02-2022
479,18700,1,6,SO52205,? 3.36,8.99,03-02-2022,15-02-2022,10-02-2022
217,18700,1,6,SO52205,? 13.09,34.99,03-02-2022,15-02-2022,10-02-2022
600,17514,1,6,SO52206,? 294.58,539.99,03-02-2022,15-02-2022,10-02-2022
478,17514,1,6,SO52206,? 3.74,9.99,03-02-2022,15-02-2022,10-02-2022
477,17514,1,6,SO52206,? 1.87,4.99,03-02-2022,15-02-2022,10-02-2022
225,17514,1,6,SO52206,? 6.92,8.99,03-02-2022,15-02-2022,10-02-2022
353,11056,1,6,SO52207,"? 1,265.62",2319.99,03-02-2022,15-02-2022,10-02-2022
477,11056,1,6,SO52207,? 1.87,4.99,03-02-2022,15-02-2022,10-02-2022
478,11056,1,6,SO52207,? 3.74,9.99,03-02-2022,15-02-2022,10-02-2022
489,11056,1,6,SO52207,? 41.57,53.99,03-02-2022,15-02-2022,10-02-2022
463,11056,1,6,SO52207,? 9.16,24.49,03-02-2022,15-02-2022,10-02-2022
606,21603,1,100,SO52208,? 343.65,539.99,03-02-2022,15-02-2022,10-02-2022
538,21603,1,100,SO52208,? 8.04,21.49,03-02-2022,15-02-2022,10-02-2022
529,21603,1,100,SO52208,? 1.49,3.99,03-02-2022,15-02-2022,10-02-2022
480,21603,1,100,SO52208,? 0.86,2.29,03-02-2022,15-02-2022,10-02-2022
604,29388,1,100,SO52209,? 343.65,539.99,03-02-2022,15-02-2022,10-02-2022
538,29388,1,100,SO52209,? 8.04,21.49,03-02-2022,15-02-2022,10-02-2022
529,29388,1,100,SO52209,? 1.49,3.99,03-02-2022,15-02-2022,10-02-2022
480,29388,1,100,SO52209,? 0.86,2.29,03-02-2022,15-02-2022,10-02-2022
376,18308,1,6,SO52210,"? 1,554.95",2443.35,03-02-2022,15-02-2022,10-02-2022
479,18308,1,6,SO52210,? 3.36,8.99,03-02-2022,15-02-2022,10-02-2022
477,18308,1,6,SO52210,? 1.87,4.99,03-02-2022,15-02-2022,10-02-2022
480,18308,1,6,SO52210,? 0.86,2.29,03-02-2022,15-02-2022,10-02-2022
376,18482,1,6,SO52211,"? 1,554.95",2443.35,04-02-2022,16-02-2022,11-02-2022
479,18482,1,6,SO52211,? 3.36,8.99,04-02-2022,16-02-2022,11-02-2022
372,18275,1,6,SO52212,"? 1,554.95",2443.35,04-02-2022,16-02-2022,11-02-2022
359,11410,1,100,SO52213,"? 1,251.98",2294.99,04-02-2022,16-02-2022,11-02-2022
537,11410,1,100,SO52213,? 13.09,35.00,04-02-2022,16-02-2022,11-02-2022
214,11410,1,100,SO52213,? 13.09,34.99,04-02-2022,16-02-2022,11-02-2022
234,11410,1,100,SO52213,? 38.49,49.99,04-02-2022,16-02-2022,11-02-2022
357,11483,1,100,SO52214,"? 1,265.62",2319.99,04-02-2022,16-02-2022,11-02-2022
214,11483,1,100,SO52214,? 13.09,34.99,04-02-2022,16-02-2022,11-02-2022
225,12931,1,100,SO52215,? 6.92,8.99,04-02-2022,16-02-2022,11-02-2022
539,15140,1,6,SO52216,? 9.35,24.99,04-02-2022,16-02-2022,11-02-2022
480,15140,1,6,SO52216,? 0.86,2.29,04-02-2022,16-02-2022,11-02-2022
536,17078,1,6,SO52217,? 11.22,29.99,04-02-2022,16-02-2022,11-02-2022
528,17078,1,6,SO52217,? 1.87,4.99,04-02-2022,16-02-2022,11-02-2022
214,17078,1,6,SO52217,? 13.09,34.99,04-02-2022,16-02-2022,11-02-2022
488,17078,1,6,SO52217,? 41.57,53.99,04-02-2022,16-02-2022,11-02-2022
537,21887,1,6,SO52218,? 13.09,35.00,04-02-2022,16-02-2022,11-02-2022
528,21887,1,6,SO52218,? 1.87,4.99,04-02-2022,16-02-2022,11-02-2022
530,27978,1,6,SO52219,? 1.87,4.99,04-02-2022,16-02-2022,11-02-2022
465,27978,1,6,SO52219,? 9.16,24.49,04-02-2022,16-02-2022,11-02-2022
214,13998,1,6,SO52220,? 13.09,34.99,04-02-2022,16-02-2022,11-02-2022
225,13998,1,6,SO52220,? 6.92,8.99,04-02-2022,16-02-2022,11-02-2022
491,13998,1,6,SO52220,? 41.57,53.99,04-02-2022,16-02-2022,11-02-2022
489,17291,1,6,SO52221,? 41.57,53.99,04-02-2022,16-02-2022,11-02-2022
580,17629,1,100,SO52222,"? 1,082.51",1700.99,04-02-2022,16-02-2022,11-02-2022
539,17629,1,100,SO52222,? 9.35,24.99,04-02-2022,16-02-2022,11-02-2022
529,17629,1,100,SO52222,? 1.49,3.99,04-02-2022,16-02-2022,11-02-2022
372,19493,1,98,SO52223,"? 1,554.95",2443.35,04-02-2022,16-02-2022,11-02-2022
540,19493,1,98,SO52223,? 12.19,32.60,04-02-2022,16-02-2022,11-02-2022
529,19493,1,98,SO52223,? 1.49,3.99,04-02-2022,16-02-2022,11-02-2022
222,19493,1,98,SO52223,? 13.09,34.99,04-02-2022,16-02-2022,11-02-2022
376,23635,1,98,SO52224,"? 1,554.95",2443.35,04-02-2022,16-02-2022,11-02-2022
479,23635,1,98,SO52224,? 3.36,8.99,04-02-2022,16-02-2022,11-02-2022
539,29014,1,100,SO52225,? 9.35,24.99,04-02-2022,16-02-2022,11-02-2022
529,29014,1,100,SO52225,? 1.49,3.99,04-02-2022,16-02-2022,11-02-2022
214,29014,1,100,SO52225,? 13.09,34.99,04-02-2022,16-02-2022,11-02-2022
541,26788,1,100,SO52226,? 10.84,28.99,04-02-2022,16-02-2022,11-02-2022
530,26788,1,100,SO52226,? 1.87,4.99,04-02-2022,16-02-2022,11-02-2022
480,26788,2,100,SO52226,? 0.86,2.29,04-02-2022,16-02-2022,11-02-2022
530,26598,1,100,SO52227,? 1.87,4.99,04-02-2022,16-02-2022,11-02-2022
541,26598,1,100,SO52227,? 10.84,28.99,04-02-2022,16-02-2022,11-02-2022
540,24820,1,100,SO52228,? 12.19,32.60,04-02-2022,16-02-2022,11-02-2022
529,24820,1,100,SO52228,? 1.49,3.99,04-02-2022,16-02-2022,11-02-2022
480,24820,1,100,SO52228,? 0.86,2.29,04-02-2022,16-02-2022,11-02-2022
541,26573,1,100,SO52229,? 10.84,28.99,04-02-2022,16-02-2022,11-02-2022
530,26573,1,100,SO52229,? 1.87,4.99,04-02-2022,16-02-2022,11-02-2022
214,26573,1,100,SO52229,? 13.09,34.99,04-02-2022,16-02-2022,11-02-2022
540,24497,1,100,SO52230,? 12.19,32.60,04-02-2022,16-02-2022,11-02-2022
529,24497,1,100,SO52230,? 1.49,3.99,04-02-2022,16-02-2022,11-02-2022
217,24497,1,100,SO52230,? 13.09,34.99,04-02-2022,16-02-2022,11-02-2022
540,11712,1,19,SO52231,? 12.19,32.60,04-02-2022,16-02-2022,11-02-2022
528,22038,1,100,SO52232,? 1.87,4.99,04-02-2022,16-02-2022,11-02-2022
536,22038,1,100,SO52232,? 11.22,29.99,04-02-2022,16-02-2022,11-02-2022
478,22038,1,100,SO52232,? 3.74,9.99,04-02-2022,16-02-2022,11-02-2022
477,22038,1,100,SO52232,? 1.87,4.99,04-02-2022,16-02-2022,11-02-2022
222,22038,1,100,SO52232,? 13.09,34.99,04-02-2022,16-02-2022,11-02-2022
536,23452,1,100,SO52233,? 11.22,29.99,04-02-2022,16-02-2022,11-02-2022
480,23452,2,100,SO52233,? 0.86,2.29,04-02-2022,16-02-2022,11-02-2022
528,22163,1,100,SO52234,? 1.87,4.99,04-02-2022,16-02-2022,11-02-2022
536,22163,1,100,SO52234,? 11.22,29.99,04-02-2022,16-02-2022,11-02-2022
480,22163,1,100,SO52234,? 0.86,2.29,04-02-2022,16-02-2022,11-02-2022
477,23277,1,100,SO52235,? 1.87,4.99,04-02-2022,16-02-2022,11-02-2022
478,23277,1,100,SO52235,? 3.74,9.99,04-02-2022,16-02-2022,11-02-2022
484,23277,1,100,SO52235,? 2.97,7.95,04-02-2022,16-02-2022,11-02-2022
536,23050,1,100,SO52236,? 11.22,29.99,04-02-2022,16-02-2022,11-02-2022
528,23050,1,100,SO52236,? 1.87,4.99,04-02-2022,16-02-2022,11-02-2022
214,23050,1,100,SO52236,? 13.09,34.99,04-02-2022,16-02-2022,11-02-2022
478,14604,1,19,SO52237,? 3.74,9.99,04-02-2022,16-02-2022,11-02-2022
477,14604,1,19,SO52237,? 1.87,4.99,04-02-2022,16-02-2022,11-02-2022
225,14604,1,19,SO52237,? 6.92,8.99,04-02-2022,16-02-2022,11-02-2022
477,20696,1,100,SO52238,? 1.87,4.99,04-02-2022,16-02-2022,11-02-2022
478,20696,1,100,SO52238,? 3.74,9.99,04-02-2022,16-02-2022,11-02-2022
237,20696,1,100,SO52238,? 38.49,49.99,04-02-2022,16-02-2022,11-02-2022
225,20696,1,100,SO52238,? 6.92,8.99,04-02-2022,16-02-2022,11-02-2022
476,19733,1,100,SO52239,? 26.18,69.99,04-02-2022,16-02-2022,11-02-2022
477,26505,1,19,SO52240,? 1.87,4.99,04-02-2022,16-02-2022,11-02-2022
487,26505,1,19,SO52240,? 20.57,54.99,04-02-2022,16-02-2022,11-02-2022
477,17447,1,100,SO52241,? 1.87,4.99,04-02-2022,16-02-2022,11-02-2022
225,17447,1,100,SO52241,? 6.92,8.99,04-02-2022,16-02-2022,11-02-2022
477,18102,1,100,SO52242,? 1.87,4.99,04-02-2022,16-02-2022,11-02-2022
528,22544,1,19,SO52243,? 1.87,4.99,04-02-2022,16-02-2022,11-02-2022
480,22544,1,19,SO52243,? 0.86,2.29,04-02-2022,16-02-2022,11-02-2022
483,22544,1,19,SO52243,? 44.88,120.00,04-02-2022,16-02-2022,11-02-2022
528,22154,1,19,SO52244,? 1.87,4.99,04-02-2022,16-02-2022,11-02-2022
485,22154,1,19,SO52244,? 8.22,21.98,04-02-2022,16-02-2022,11-02-2022
478,22154,1,19,SO52244,? 3.74,9.99,04-02-2022,16-02-2022,11-02-2022
528,16018,1,100,SO52245,? 1.87,4.99,04-02-2022,16-02-2022,11-02-2022
222,16018,1,100,SO52245,? 13.09,34.99,04-02-2022,16-02-2022,11-02-2022
234,16018,1,100,SO52245,? 38.49,49.99,04-02-2022,16-02-2022,11-02-2022
475,13508,1,100,SO52246,? 26.18,69.99,04-02-2022,16-02-2022,11-02-2022
225,13508,1,100,SO52246,? 6.92,8.99,04-02-2022,16-02-2022,11-02-2022
237,13508,1,100,SO52246,? 38.49,49.99,04-02-2022,16-02-2022,11-02-2022
475,28456,1,100,SO52247,? 26.18,69.99,04-02-2022,16-02-2022,11-02-2022
528,14704,1,100,SO52248,? 1.87,4.99,04-02-2022,16-02-2022,11-02-2022
485,14704,1,100,SO52248,? 8.22,21.98,04-02-2022,16-02-2022,11-02-2022
477,14704,1,100,SO52248,? 1.87,4.99,04-02-2022,16-02-2022,11-02-2022
478,14704,1,100,SO52248,? 3.74,9.99,04-02-2022,16-02-2022,11-02-2022
488,14704,1,100,SO52248,? 41.57,53.99,04-02-2022,16-02-2022,11-02-2022
485,18871,1,19,SO52249,? 8.22,21.98,04-02-2022,16-02-2022,11-02-2022
222,18871,1,19,SO52249,? 13.09,34.99,04-02-2022,16-02-2022,11-02-2022
485,13360,1,100,SO52250,? 8.22,21.98,04-02-2022,16-02-2022,11-02-2022
222,13360,1,100,SO52250,? 13.09,34.99,04-02-2022,16-02-2022,11-02-2022
485,13372,1,100,SO52251,? 8.22,21.98,04-02-2022,16-02-2022,11-02-2022
487,13372,1,100,SO52251,? 20.57,54.99,04-02-2022,16-02-2022,11-02-2022
535,21507,1,98,SO52252,? 9.35,24.99,04-02-2022,16-02-2022,11-02-2022
536,24550,1,98,SO52253,? 11.22,29.99,04-02-2022,16-02-2022,11-02-2022
528,24550,1,98,SO52253,? 1.87,4.99,04-02-2022,16-02-2022,11-02-2022
480,24550,1,98,SO52253,? 0.86,2.29,04-02-2022,16-02-2022,11-02-2022
538,28392,1,98,SO52254,? 8.04,21.49,04-02-2022,16-02-2022,11-02-2022
480,28392,1,98,SO52254,? 0.86,2.29,04-02-2022,16-02-2022,11-02-2022
541,26861,1,100,SO52255,? 10.84,28.99,04-02-2022,16-02-2022,11-02-2022
530,26861,1,100,SO52255,? 1.87,4.99,04-02-2022,16-02-2022,11-02-2022
480,26861,2,100,SO52255,? 0.86,2.29,04-02-2022,16-02-2022,11-02-2022
538,29425,1,98,SO52256,? 8.04,21.49,04-02-2022,16-02-2022,11-02-2022
480,29425,1,98,SO52256,? 0.86,2.29,04-02-2022,16-02-2022,11-02-2022
541,25697,1,100,SO52257,? 10.84,28.99,04-02-2022,16-02-2022,11-02-2022
530,25697,1,100,SO52257,? 1.87,4.99,04-02-2022,16-02-2022,11-02-2022
222,25697,1,100,SO52257,? 13.09,34.99,04-02-2022,16-02-2022,11-02-2022
530,23235,1,98,SO52258,? 1.87,4.99,04-02-2022,16-02-2022,11-02-2022
214,23235,1,98,SO52258,? 13.09,34.99,04-02-2022,16-02-2022,11-02-2022
467,17701,1,98,SO52259,? 9.16,24.49,04-02-2022,16-02-2022,11-02-2022
530,17701,1,98,SO52259,? 1.87,4.99,04-02-2022,16-02-2022,11-02-2022
530,26233,1,100,SO52260,? 1.87,4.99,04-02-2022,16-02-2022,11-02-2022
214,26233,1,100,SO52260,? 13.09,34.99,04-02-2022,16-02-2022,11-02-2022
225,26233,1,100,SO52260,? 6.92,8.99,04-02-2022,16-02-2022,11-02-2022
537,13758,1,19,SO52261,? 13.09,35.00,04-02-2022,16-02-2022,11-02-2022
528,13758,1,19,SO52261,? 1.87,4.99,04-02-2022,16-02-2022,11-02-2022
480,13758,1,19,SO52261,? 0.86,2.29,04-02-2022,16-02-2022,11-02-2022
537,11793,1,100,SO52262,? 13.09,35.00,04-02-2022,16-02-2022,11-02-2022
485,11793,1,100,SO52262,? 8.22,21.98,04-02-2022,16-02-2022,11-02-2022
478,11793,1,100,SO52262,? 3.74,9.99,04-02-2022,16-02-2022,11-02-2022
485,12965,1,100,SO52263,? 8.22,21.98,04-02-2022,16-02-2022,11-02-2022
217,12965,1,100,SO52263,? 13.09,34.99,04-02-2022,16-02-2022,11-02-2022
580,16886,1,100,SO52264,"? 1,082.51",1700.99,04-02-2022,16-02-2022,11-02-2022
539,16886,1,100,SO52264,? 9.35,24.99,04-02-2022,16-02-2022,11-02-2022
529,16886,1,100,SO52264,? 1.49,3.99,04-02-2022,16-02-2022,11-02-2022
594,15558,1,100,SO52265,? 308.22,564.99,04-02-2022,16-02-2022,11-02-2022
477,15558,1,100,SO52265,? 1.87,4.99,04-02-2022,16-02-2022,11-02-2022
478,15558,1,100,SO52265,? 3.74,9.99,04-02-2022,16-02-2022,11-02-2022
357,11885,1,100,SO52266,"? 1,265.62",2319.99,04-02-2022,16-02-2022,11-02-2022
480,11885,1,100,SO52266,? 0.86,2.29,04-02-2022,16-02-2022,11-02-2022
353,11529,1,100,SO52267,"? 1,265.62",2319.99,04-02-2022,16-02-2022,11-02-2022
485,11529,1,100,SO52267,? 8.22,21.98,04-02-2022,16-02-2022,11-02-2022
478,11529,1,100,SO52267,? 3.74,9.99,04-02-2022,16-02-2022,11-02-2022
225,11529,1,100,SO52267,? 6.92,8.99,04-02-2022,16-02-2022,11-02-2022
477,11529,1,100,SO52267,? 1.87,4.99,04-02-2022,16-02-2022,11-02-2022
569,25752,13,100,SO52268,? 461.44,742.35,04-02-2022,16-02-2022,11-02-2022
479,25752,1,100,SO52268,? 3.36,8.99,04-02-2022,16-02-2022,11-02-2022
477,25752,1,100,SO52268,? 1.87,4.99,04-02-2022,16-02-2022,11-02-2022
561,28719,1,6,SO52269,"? 1,481.94",2384.07,04-02-2022,16-02-2022,11-02-2022
591,11947,1,6,SO52270,? 308.22,564.99,04-02-2022,16-02-2022,11-02-2022
535,11947,1,6,SO52270,? 9.35,24.99,04-02-2022,16-02-2022,11-02-2022
528,11947,1,6,SO52270,? 1.87,4.99,04-02-2022,16-02-2022,11-02-2022
217,11947,1,6,SO52270,? 13.09,34.99,04-02-2022,16-02-2022,11-02-2022
353,11055,1,6,SO52271,"? 1,265.62",2319.99,04-02-2022,16-02-2022,11-02-2022
537,11055,1,6,SO52271,? 13.09,35.00,04-02-2022,16-02-2022,11-02-2022
528,11055,1,6,SO52271,? 1.87,4.99,04-02-2022,16-02-2022,11-02-2022
217,11055,1,6,SO52271,? 13.09,34.99,04-02-2022,16-02-2022,11-02-2022
564,24522,1,100,SO52272,"? 1,481.94",2384.07,04-02-2022,16-02-2022,11-02-2022
472,24522,1,100,SO52272,? 23.75,63.50,04-02-2022,16-02-2022,11-02-2022
214,24522,1,100,SO52272,? 13.09,34.99,04-02-2022,16-02-2022,11-02-2022
562,24528,1,100,SO52273,"? 1,481.94",2384.07,04-02-2022,16-02-2022,11-02-2022
541,24528,1,100,SO52273,? 10.84,28.99,04-02-2022,16-02-2022,11-02-2022
530,24528,1,100,SO52273,? 1.87,4.99,04-02-2022,16-02-2022,11-02-2022
480,24528,1,100,SO52273,? 0.86,2.29,04-02-2022,16-02-2022,11-02-2022
563,24529,1,100,SO52274,"? 1,481.94",2384.07,04-02-2022,16-02-2022,11-02-2022
479,24529,1,100,SO52274,? 3.36,8.99,04-02-2022,16-02-2022,11-02-2022
477,24529,1,100,SO52274,? 1.87,4.99,04-02-2022,16-02-2022,11-02-2022
584,21609,1,100,SO52275,? 343.65,539.99,04-02-2022,16-02-2022,11-02-2022
477,21609,1,100,SO52275,? 1.87,4.99,04-02-2022,16-02-2022,11-02-2022
479,21609,1,100,SO52275,? 3.36,8.99,04-02-2022,16-02-2022,11-02-2022
